Story #	Character Name	Sound	Sr No	Day	Charachter	Character Emotion	Dialogs & Requirments	Sprite																	
Story 5	Kamla	Light Background Music 3	9	Day 1	Raju	Raju Sad	I'm not a servant. I'm just helping my mother. There's nothing wrong with helping family.	Raju Sad																	
Story 5	Kamla	Light Background Music 3	10	Day 1	Aryan	Aryan Angry	"Helping? Is that what poor people call working for money? Don't break anything, slum boy. Everything here costs more than your family makes in a month."	Aryan Angry																	
Story 5	Kamla	Light Background Music 3	11	Day 1	Kamla	Kamla Serious	"Young master, my son is here to learn about different kinds of work. He'll be very careful with your family's belongings."	Kamla Serious																	
Story 5	Kamla	Light Background Music 3	12	Day 1	Kamla	Kamla Smiling	"Ignore words like that, beta. People who talk down to others usually do it because they're insecure about their own worth. Our struggles have taught us things that boy will never understand."	Kamla Smiling																	
Story 5	Kamla	Light Background Music 3	12.1	Day 1	No character - Dialog Setup	Not Applicable	"As Raju and his mother walk home from the high-rise complex with the day's wages earned through dignity and hard work, he carries not just the weight of their meager earnings but a deeper understanding of the social forces that judge people by their economic circumstances rather than their character. Kamla's quiet strength in the face of casual cruelty has taught him something valuable about maintaining self-respect in a world that often offers little respect in return."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	13	Day 2	No character - Dialog Setup	Not Applicable	"After yesterday's difficult encounter at the wealthy apartment, Raju chooses to spend the evening at home with his mother instead of going out to play cricket with friends."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	13.1	Day 2	No character - Dialog Setup	Not Applicable	"The familiar warmth of their small home welcomes Raju as he settles beside his mother for conversation rather than rushing off to evening cricket practice, his mind still processing yesterday's exposure to the casual cruelty that often accompanies wealth and privilege. The simple comfort of being in a space where his worth is never questioned creates a stark contrast to the hostile environment of the high-rise complex, while Kamla's presence radiates the unconditional love and support that anchors his sense of self."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	14	Day 2	Raju	Raju Sad	"Ma, why did that boy Aryan talk to us like that? Just because his family has money, does he really think he's better than us?"	RajuSad																	
Story 5	Kamla	Light Background Music 3	15	Day 2	Kamla	Kamla Smiling	"Beta, people like Aryan live in tall buildings, but that doesn't mean they see far. They look down on us not because we're less than them, but because looking down makes them feel taller."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	16	Day 2	Kamla	Kamla Smiling	"But here's what I noticed yesterday, and what that rich boy didn't see - you held your head high. When he insulted you, you didn't cower or accept his words as truth. You stood up for yourself and for our family with dignity."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	17	Day 2	Raju	Raju Excited	"I want to prove him wrong, Ma. One day, when I'm successful - maybe through cricket, maybe through something else - I want him to know that being from the slums doesn't make someone less worthy of respect."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	18	Day 2	Kamla	Kamla Smiling	"And you will prove him wrong, beta. But not by becoming like him - dismissive and cruel. You'll prove him wrong by being exactly who you are - kind, determined, and respectful to everyone regardless of their circumstances."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	19	Day 2	Kamla	Kamla Smiling	"I see how serious you are about everything you do, beta. Even if your father worries about your cricket dreams, even if he doesn't say it out loud yet, I want you to know - I believe in you."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	20	Day 2	Raju	Raju Excited	"Really, Ma? You believe I can make something of myself, even coming from here?"	RajuExcited																	
Story 5	Kamla	Light Background Music 3	21	Day 2	Kamla	Kamla Smiling	"Beta, I've cleaned the houses of wealthy people for years. I've seen their children - given everything, handed opportunities, never having to work for anything. And then I watch you - creating your own opportunities, working twice as hard for half the recognition. Which child do you think is really stronger?"	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	22	Day 2	Kamla	Kamla Smiling	"I'll support your dreams, Raju. Quietly, because your father needs time to understand, but always. When you succeed - and I believe you will - it won't be because someone gave you advantages. It will be because you earned every step forward."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	23	Day 2	Raju	Raju Excited	"Thank you, Ma. I promise I won't let you down. I'll make our family proud."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	23.1	Day 2	No character - Dialog Setup	Not Applicable	"As Raju prepares for sleep with his mother's words of support and belief echoing in his heart, he understands that he has received something more valuable than any expensive equipment or coaching - the unwavering faith of someone who knows his character intimately and believes in his potential despite all external obstacles. Her promise of quiet but constant support provides a foundation of confidence that will sustain him through future challenges and rejections."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	24	Day 3	No character - Dialog Setup	Not Applicable	"Despite his eagerness to join the morning cricket practice session, Raju chooses to help his mother with household tasks before heading out, wanting to show that her faith in him is well-placed."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	24.1	Day 3	No character - Dialog Setup	Not Applicable	"The morning routine of their modest home unfolds as Raju demonstrates his growing maturity by prioritizing family responsibilities over personal desires, his willingness to delay cricket practice reflecting a deeper understanding of the balance between pursuing dreams and honoring obligations. Kamla's daily preparations for another day of hard work continue with practiced efficiency, though her watchful eyes assess how her son handles the competing demands of duty and passion."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	25	Day 3	Kamla	Kamla Serious	"Beta, before you run off to the cricket ground, come help me with this water pump. It's acting up again, and I need to fill these containers before the morning rush."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	26	Day 3	Raju	Raju Quizzical	"Ma, can't I help you when I come back from practice? The other boys are already waiting for me at the ground, and if I'm late, they might start the game without me..."	RajuQuizzical																	
Story 5	Kamla	Light Background Music 3	27	Day 3	Kamla	Kamla Serious	"The other boys are waiting, or your cricket practice is calling? Tell me, beta - what's more important to you right now, helping your family with something we need to survive, or playing a game with your friends?"	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	28a	Day 3	Raju	Raju Serious	"My family's needs come before everything, Ma. Let me prove I can put you first always. Cricket can wait - you're more important than any game."	RajuSerious																	
Story 5	Kamla	Light Background Music 3	29a	Day 3	Kamla	Kamla Smiling	"That's exactly the attitude I hoped to see, beta. Family first, always. This is what makes me believe you have the character to succeed at anything you pursue."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	30a	Day 3	Raju	Raju Serious	"Every morning I want to help you first, Ma. Let me show you that I understand what really matters in life."	RajuSerious																	
Story 5	Kamla	Light Background Music 3	31a	Day 3	Kamla	Kamla Smiling	"Your willingness to sacrifice for family shows me the kind of man you're becoming, beta. This devotion will serve you well in all your dreams."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	31a.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju demonstrates his complete commitment to family priorities over personal desires, Kamla observes with growing pride that her son's character development reflects values that will serve him well in any pursuit he chooses to follow. His willingness to sacrifice immediate gratification for family responsibility reveals a maturity that transforms her view of his cricket dreams from childish fantasy into potentially achievable goals built on solid moral foundation."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	32a	Day 4a	No character - Dialog Setup	Not Applicable	"Raju demonstrates complete dedication to family needs, showing his mother that her well-being comes before any personal desires."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	32a.1	Day 4a	No character - Dialog Setup	Not Applicable	"The consistent pattern of Raju's family-first choices over several days has created a new dynamic in their modest home, with his mature approach to balancing responsibilities and dreams earning increasing respect and trust from Kamla. Her observations of his character under pressure have convinced her that his cricket ambitions might deserve more serious consideration than she initially believed, setting the stage for a deeper conversation about the realities they face and the possibilities they might pursue."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	33a	Day 4a	Kamla	Kamla Smiling	"Your devotion these days has shown me something beautiful, beta. Now let me show you what our family sacrifices look like in the real world."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	28b	Day 3	Raju	Raju Serious	"I want to show you that cricket and family responsibility can work together, Ma. Let me help you now and practice later - both matter, and both deserve my attention."	RajuSerious																	
Story 5	Kamla	Light Background Music 3	29b	Day 3	Kamla	Kamla Smiling	"Balance, beta. That's wisdom beyond your years. Most people choose one or the other, but you're trying to honor both your duties and your dreams."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	30b	Day 3	Raju	Raju Excited	See Ma? I can handle family needs and still have energy for cricket. They don't have to compete with each other.	RajuExcited																	
Story 5	Kamla	Light Background Music 3	31b	Day 3	Kamla	Kamla Smiling	"You're showing me something important - that dreams can make you more responsible, not less. This balance gives me confidence in your choices."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	31b.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju successfully demonstrates that his cricket passion enhances rather than diminishes his family commitment, Kamla begins to see that his approach to balancing competing priorities reflects genuine maturity rather than mere compliance. His ability to find energy for both responsibilities and dreams suggests a level of character development that transforms her understanding of what his cricket ambitions might realistically achieve."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	32b	Day 4b	No character - Dialog Setup	Not Applicable	"Raju demonstrates that his cricket passion enhances rather than diminishes his family commitment, showing mature integration of priorities."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	32b.1	Day 4b	No character - Dialog Setup	Not Applicable	"The evidence of Raju's balanced approach to family duties and personal dreams has accumulated over several days, creating a compelling case that his cricket aspirations stem from mature motivation rather than escapist fantasy. Kamla's growing confidence in his judgment reflects her recognition that his integrated approach to responsibility and ambition might indeed provide a foundation for achieving goals that once seemed impossibly out of reach."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	33b	Day 4b	Kamla	Kamla Smiling	"Your balanced approach has impressed me, beta. Now let me show you the realities we're balancing against, so you understand the full picture."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	28c	Day 3	Raju	Raju Excited	"Let me show you how serious I am about cricket, Ma. This dream could help our whole family. But first, let me help you - successful cricketers understand responsibility."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	29c	Day 3	Kamla	Kamla Quizzical	"You're thinking about cricket helping the family? That's... ambitious, beta. But I like that you still understand immediate responsibilities."	KamlaQuizzical																	
Story 5	Kamla	Light Background Music 3	30c	Day 3	Raju	Raju Excited	"Every successful athlete I've heard about started by being reliable at home, Ma. Let me prove my cricket dreams are built on solid character."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	31c	Day 3	Kamla	Kamla Smiling	"Your determination is remarkable, beta. You're approaching dreams like a man, not a child. This seriousness makes me want to understand your cricket better."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	31c.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju articulates his cricket dreams with the maturity of someone who understands that success requires character as much as talent, Kamla finds herself taking his ambitions more seriously than she ever expected. His sophisticated understanding of the relationship between personal responsibility and athletic achievement suggests that his cricket goals might be grounded in realistic planning rather than wishful thinking."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	32c	Day 4c	No character - Dialog Setup	Not Applicable	"Raju demonstrates that his cricket ambition includes mature understanding of responsibility, showing his dreams have practical foundation."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	32c.1	Day 4c	No character - Dialog Setup	Not Applicable	"The combination of Raju's passionate commitment to cricket and his mature approach to family responsibilities has created a compelling argument for taking his athletic dreams seriously, with Kamla increasingly convinced that his goals reflect genuine potential rather than mere fantasy. His understanding that success requires character development as well as skill improvement suggests a level of wisdom that transforms her perception of what might be achievable through dedicated effort and proper support."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	33c	Day 4c	Kamla	Kamla Excited	"Your serious approach to cricket has caught my attention, beta. Let me show you what we're working with, so your dreams can be realistic and achievable."	KamlaExcited																	
Story 5	Kamla	Light Background Music 3	34	Day 4	No character - Dialog Setup	Not Applicable	"After three days of voluntarily helping his mother and demonstrating growing maturity, Raju accompanies Kamla to the wealthy Mehta household, witnessing the stark contrast between their poverty and others' abundance."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	34.1	Day 4	No character - Dialog Setup	Not Applicable	"The opulent Mehta household stands as a monument to wealth and privilege as Raju accompanies his mother into a world where single decorative items cost more than his family's monthly income, the stark contrast forcing him to confront the economic realities that shape their daily struggles. Kamla's practiced efficiency in navigating this environment of casual luxury reveals the dignity she maintains while working in spaces that emphasize their social and economic marginalization."	Wellington Estate																	
Story 5	Kamla	Light Background Music 3	35	Day 4	Kamla	Kamla Serious	"Watch carefully, beta. See how much work it takes to earn twenty rupees?"	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	36	Day 4	Raju	Raju Sad	"It seems like so much work for so little money, Ma. Your hands are hurting."	RajuSad																	
Story 5	Kamla	Light Background Music 3	37	Day 4	Kamla	Kamla Serious	"This is why education matters, Raju. So you don't spend your life cleaning other people's houses, watching your hands age before their time while their children play with toys that cost more than our monthly food budget."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	38	Day 4	Raju	Raju Excited	"But what about cricket, Ma? Can't that also help us? If I get really good, maybe..."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	39	Day 4	Kamla	Kamla Smiling	"Cricket is a dream, beta. Dreams are beautiful, and after watching how serious you've been these past few days, I'm starting to think maybe some dreams aren't as impossible as I thought. But we need practical plans too."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	40	Day 4	Kamla	Kamla Smiling	"The difference is, I can see now that you understand responsibility. You've helped me every morning without complaining, even when I know you wanted to be practicing cricket. That tells me maybe you can balance both dreams and reality."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	41	Day 4	Raju	Raju Excited	"I can, Ma. I can do both. I can help you and still chase my cricket dreams."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	42	Day 4	Kamla	Kamla Serious	"Then prove it. Show me that your cricket makes you more responsible, not less. Show me that dreams can make you stronger, not weaker."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	42.1	Day 4	No character - Dialog Setup	Not Applicable	"As Raju and Kamla walk home from the Mehta household with new understanding of both the challenges they face and the possibilities that determined effort might create, the conversation has transformed from cautious skepticism about cricket dreams into conditional support based on demonstrated character. The exposure to extreme wealth has clarified the stakes involved while Raju's consistent responsibility has earned him the chance to prove that athletic ambition and family duty can indeed strengthen each other."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	43	Day 5	No character - Dialog Setup	Not Applicable	"After four days of witnessing his growing maturity and dedication, Raju accompanies his mother to the local market, wanting to help with shopping and understand how their limited money must be stretched."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	43.1	Day 5	No character - Dialog Setup	Not Applicable	"The bustling local market surrounds Raju and Kamla with the familiar sounds and smells of their neighborhood as they navigate between vendors hawking vegetables, household goods, and various necessities that must be carefully budgeted against their limited resources. Each purchase decision reflects the harsh mathematics of poverty, where every rupee spent on one need means another need goes unmet, though today's shopping trip carries the anticipation of a significant moment that neither fully expects."	Local Market																	
Story 5	Kamla	Light Background Music 3	44	Day 5	Kamla	Kamla Excited	"Beta, look at this. A real cricket ball - leather, proper stitching. Not like those tennis balls you've been practicing with."	KamlaExcited																	
Story 5	Kamla	Light Background Music 3	45	Day 5	Vendor	Vendor Excited	"Madam, that's excellent quality - genuine leather, regulation weight. Your son would practice like a real cricketer with that ball. Only fifteen rupees, a very good price."	VendorExcited																	
Story 5	Kamla	Light Background Music 3	46	Day 5	Kamla	Kamla Serious	Fifteen rupees... that's my lunch money for three days. That's vegetables for the family for two days. That's...	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	47	Day 5	Raju	Raju Serious	"Ma, please don't. I can keep practicing with the old tennis ball. It's been working fine. We need that money for food, for the house, for important things."	RajuSerious																	
Story 5	Kamla	Light Background Music 3	48	Day 5	Kamla	Kamla Serious	"Important things, you said. Tell me, beta - after watching you for four days, after seeing how seriously you take both your responsibilities and your cricket practice - isn't your development important too?"	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	49	Day 5	Kamla	Kamla Smiling	"No, Raju. If you're going to practice cricket seriously, if you're going to chase this dream with the dedication you've been showing, then you should practice with proper equipment. Dreams deserve proper tools."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	50	Day 5	Vendor	Vendor Smiling	Your son is very lucky to have a mother who supports his games. This ball will last for years with proper care.	VendorSmiling																	
Story 5	Kamla	Light Background Music 3	51	Day 5	Raju	Raju Excited	"Ma, you didn't have to do this. I know what fifteen rupees means to our family. I know what you're giving up."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	52	Day 5	Kamla	Kamla Smiling	"Beta, a mother doesn't just feed her child's body - she feeds his dreams, his potential, his belief in himself. This ball isn't just for cricket practice. It's my way of saying I believe in you."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	53	Day 5	Kamla	Kamla Serious	"But remember this moment, Raju. Remember what this ball represents. It cost me three days of meals, but I chose to invest in your future instead. Use it wisely. Practice with purpose."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	54	Day 5	Raju	Raju Excited	"I'll treasure this ball, Ma. I'll use it to become the best cricketer I can be. And I'll make you proud - not just in cricket, but in everything I do."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	55	Day 5	Kamla	Kamla Smiling	"You already make me proud, beta. Every day when you help with chores without being asked, every day when you balance your dreams with your responsibilities - you're already the success I hoped you'd become."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	55.1	Day 5	No character - Dialog Setup	Not Applicable	"As Raju and Kamla walk home from the market with the precious cricket ball representing far more than sporting equipment - it embodies a mother's faith, sacrifice, and investment in her son's dreams despite their desperate circumstances. The weight of her trust and the magnitude of her sacrifice settle into Raju's consciousness, transforming the leather ball into a sacred object that carries the responsibility to honor both her belief and the family resources invested in his potential."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	56	Day 6	No character - Dialog Setup	Not Applicable	"After an especially successful cricket practice session with the new ball, Raju comes home directly instead of playing additional games, excited to share his progress with Kamla."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	56.1	Day 6	No character - Dialog Setup	Not Applicable	"The familiar warmth of home welcomes Raju as he returns from cricket practice glowing with the excitement of someone whose efforts have produced tangible results, his eagerness to share his progress with Kamla reflecting the deepened bond that has developed through days of mutual support and understanding. The cricket ball that cost his mother three days of meals has already begun to justify her investment through improvements that validate both his talent and her faith in his potential."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	57	Day 6	Kamla	Kamla Smiling	"Look at that smile, beta! How was practice today? You look like you conquered the entire cricket field."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	58	Day 6	Raju	Raju Excited	"Ma, it was incredible! Using the proper cricket ball made such a difference. I hit six boundaries today - clean, powerful shots that went exactly where I aimed them. And I took three wickets when I was bowling!"	RajuExcited																	
Story 5	Kamla	Light Background Music 3	59	Day 6	Kamla	Kamla Quizzical	"Six boundaries and three wickets... beta, I've heard these terms, but explain to me exactly what they mean. I want to understand your cricket properly."	KamlaQuizzical																	
Story 5	Kamla	Light Background Music 3	60	Day 6	Raju	Raju Excited	Taking wickets means I bowled so well that I got the batsmen out! And boundaries are when you hit the ball so hard and so precisely that it reaches the edge of the field and you automatically get four runs!	RajuExcited																	
Story 5	Kamla	Light Background Music 3	61	Day 6	Kamla	Kamla Smiling	"Beta, you absolutely light up when you talk about cricket. I've never seen you this alive, this energetic about anything else."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	62	Day 6	Raju	Raju Excited	"That's because cricket makes me feel... like I can be somebody special, Ma. Like I'm not just another poor kid from the slums. When I'm playing, I feel like I could become someone important."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	63	Day 6	Kamla	Kamla Smiling	"Listen to me carefully, Raju. You already are somebody special. You always have been. Cricket doesn't make you special, beta. Cricket just gives the world a way to see the specialness that was already inside you."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	64	Day 6	Raju	Raju Excited	So you really believe in my cricket dreams now? You think they could become real?	RajuExcited																	
Story 5	Kamla	Light Background Music 3	65	Day 6	Kamla	Kamla Smiling	"I believe in you, beta. I believe in your character, your work ethic, your dreams, and your ability to make them reality while staying true to who you are. Cricket is just one way that might happen."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	65.1	Day 6	No character - Dialog Setup	Not Applicable	"As the conversation about cricket success transitions into deeper affirmations of Raju's inherent worth and potential, both mother and son understand that something fundamental has shifted in their relationship - from cautious support to wholehearted belief in possibilities that once seemed impossibly distant. The investment in the cricket ball has already paid dividends in confidence and performance, validating Kamla's decision to sacrifice immediate needs for long-term potential."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	66	Day 7	No character - Dialog Setup	Not Applicable	"In the quiet moments before sleep, Raju chooses to spend time talking with his mother, sensing that tonight might be important for something more significant than daily conversation."	Not Applicable																	
Story 5	Kamla	Light Background Music 3	66.1	Day 7	No character - Dialog Setup	Not Applicable	"The peaceful intimacy of their modest home creates a sacred space for conversation as evening settles around Raju and Kamla, the day's activities giving way to the deeper reflections that often emerge in quiet moments between mother and son. The accumulated experiences of the past week have built toward this moment of connection and understanding, with both sensing that tonight's conversation will formalize commitments and promises that have been growing through daily demonstrations of character and faith."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	67	Day 7	Kamla	Kamla Serious	"Beta, before you sleep tonight, I want to tell you something very important. Something I've been thinking about for days now."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	68	Day 7	Raju	Raju Excited	"What is it, Ma? You sound very serious."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	69	Day 7	Kamla	Kamla Serious	"For six days, I've been watching you, testing you, learning about the kind of person you're becoming. I understand that cricket isn't just a game for you - it's a calling, something that brings out your best qualities."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	70	Day 7	Raju	Raju Excited	"Ma, what are you saying?"	RajuExcited																	
Story 5	Kamla	Light Background Music 3	71	Day 7	Kamla	Kamla Serious	"I'm saying that I promise you - whatever happens with your father's concerns, whatever doubts other people might have, whatever challenges come in the future - I will always support your cricket dreams. Always, beta. Completely and unconditionally."	KamlaSerious																	
Story 5	Kamla	Light Background Music 3	72	Day 7	Kamla	Kamla Smiling	"I've watched you for six days, and your dream isn't impossible, and my support isn't blind. You've earned this promise through your character."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	73	Day 7	Raju	Raju Excited	"Ma, you're the most wonderful mother in the world. I can't believe you believe in me this much."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	74	Day 7	Kamla	Kamla Smiling	"And you're going to be an incredible cricketer, Raju. Not just because of your natural talent, but because of who you are as a person. I feel it in my heart - your success is coming."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	75	Day 7	Raju	Raju Excited	"I promise I won't let you down, Ma. I'll make our whole family proud - not just through cricket, but through everything I do."	RajuExcited																	
Story 5	Kamla	Light Background Music 3	76	Day 7	Kamla	Kamla Smiling	"Beta, you already have made me proud. Every morning when you chose to help before cricket, every moment when you showed that dreams and responsibility can work together - you've already given me more pride than any trophy could."	KamlaSmiling																	
Story 5	Kamla	Light Background Music 3	76.1	Day 7	No character - Dialog Setup	Not Applicable	"As Raju settles into sleep carrying his mother's unconditional promise of support and belief in his cricket dreams, he understands that he has received something more precious than any material advantage - the absolute faith of someone who knows his character intimately and believes in his potential to achieve greatness while remaining true to his values. Kamla's commitment represents not just support for his athletic goals but validation of his worth as a person capable of transforming dreams into reality through dedication and integrity."	Hut Interior																	
Story 5	Kamla	Light Background Music 3	77	Not Applicable	Not Applicable	Not Applicable	If the user finishes the entire story arc then give him one  Humility(as per the Reward System). If he doestn complete the story then don't give him the reward	Not Applicable																	
Story 6	Cricket Dada	Emotional Background Music 2	1	Day 1	No character - Dialog Setup	Not Applicable	"While running errands for his mother near the local hospital, Raju chooses to visit the patient ward after hearing familiar cricket commentary echoing from one of the rooms. His curiosity about cricket is stronger than his nervousness about hospitals."	Suraksha Hospital																	
Story 6	Cricket Dada	Emotional Background Music 2	1.1	Day 1	No character - Dialog Setup	Not Applicable	"The sterile corridors of Suraksha Hospital seem less intimidating to Raju as the distant sound of cricket commentary draws him toward one of the patient wards, his natural curiosity about the sport overcoming his usual discomfort with medical facilities. The familiar rhythm of a cricket match broadcast creates an unexpected island of comfort in an environment typically associated with illness and anxiety, while his footsteps echo softly as he approaches the source of the commentary that has captured his attention."	Suraksha Hospital																	
Story 6	Cricket Dada	Emotional Background Music 2	2	Day 1	Cricket Dada	Cricket Dada Excited	"Ah, beta! Another cricket lover, I see. Do you know what shot Vishwanath just played? A classic cover drive - the kind they don't teach anymore."	Cricket Dada Excited																	
Story 6	Cricket Dada	Emotional Background Music 2	3	Day 1	Raju	Raju Quizzical	"You know Gundappa Vishwanath personally? The way you describe his batting, it sounds like you've watched him play many times."	Raju Quizzical																	
Story 6	Cricket Dada	Emotional Background Music 2	4	Day 1	Cricket Dada	Cricket Dada Excited	"Beta, I've been following cricket for fifty years. I've seen Kapil Dev's World Cup victory, Gavaskar's determination, Vishwanath's elegance. Each generation brings new heroes, but the spirit of cricket remains the same."	Cricket Dada Excited																	
Story 6	Cricket Dada	Emotional Background Music 2	5	Day 1	Raju	Raju Quizzical	How do you remember so many details about matches from decades ago?	Raju Quizzical																	
Story 6	Cricket Dada	Emotional Background Music 2	6	Day 1	Cricket Dada	Cricket Dada Smiling	"When you love something truly, every moment becomes precious. I remember Kapil Dev's catch to dismiss Viv Richards in 1983 like it happened yesterday. That catch changed everything for Indian cricket."	Cricket Dada Smiling																	
Story 6	Cricket Dada	Emotional Background Music 2	7	Day 1	Raju	Raju Sad	Don't your family members visit to listen to matches with you?	Raju Sad																	
Story 6	Cricket Dada	Emotional Background Music 2	8	Day 1	Cricket Dada	Cricket Dada Sad	"Family... well, cricket is enough company for an old man. These young cricketers today, they play with such fire, such determination. Like you, beta - I can see the cricket passion in your eyes."	Cricket Dada Sad																	
Story 6	Cricket Dada	Emotional Background Music 2	8.1	Day 1	No character - Dialog Setup	Not Applicable	"As Raju leaves the hospital with Cricket Dada's stories of legendary matches echoing in his mind, he carries both the excitement of discovering a living library of cricket history and a subtle sadness about the elderly man's apparent isolation. The encounter has opened a window into the rich heritage of Indian cricket while also revealing the loneliness that can accompany old age, creating a complex mixture of inspiration and concern that will draw him back to continue their conversation."	Suraksha Hospital																	
Story 6	Cricket Dada	Emotional Background Music 2	9	Day 2	No character - Dialog Setup	Not Applicable	"Eager to continue yesterday's fascinating conversation about cricket legends, Raju chooses to return to the hospital during his free time after school. He brings a notebook this time, hoping to record some of the incredible stories."	Not Applicable																	
Story 6	Cricket Dada	Emotional Background Music 2	9.1	Day 2	No character - Dialog Setup	Not Applicable	"The hospital corridors feel more familiar today as Raju navigates toward Cricket Dada's room with a notebook tucked under his arm, his eagerness to continue learning about cricket history outweighing any remaining discomfort with the medical environment. The elderly man's wealth of knowledge and passionate storytelling have transformed what began as casual curiosity into genuine appreciation for the sport's heritage, while the notebook represents his serious intention to preserve these precious memories and insights."	Suraksha Hospital																	
Story 6	Cricket Dada	Emotional Background Music 2	10	Day 2	Cricket Dada	Cricket Dada Excited	"Ah, my young cricket friend returns! I was hoping you would come back. I spent all night thinking of stories to share with you."	CricketDadaExcited																	
Story 6	Cricket Dada	Emotional Background Music 2	11	Day 2	Raju	Raju Excited	"I brought this to write down the stories you tell me. I want to remember everything - the matches, the players, the moments that made cricket special."	RajuExcited																	
Story 6	Cricket Dada	Emotional Background Music 2	12	Day 2	Cricket Dada	Cricket Dada Smiling	"Very good, beta. Cricket history should be preserved, passed from generation to generation. Let me tell you about the 1971 series against the West Indies."	CricketDadaSmiling																	
Story 6	Cricket Dada	Emotional Background Music 2	13	Day 2	Raju	Raju Quizzical	"Dada, you talk about cricket like it teaches life lessons, not just sports techniques."	RajuQuizzical																	
Story 6	Cricket Dada	Emotional Background Music 2	14	Day 2	Cricket Dada	Cricket Dada Excited	"Exactly! Cricket is life, beta. Every match teaches you something about facing challenges, working with others, handling success and failure. When Kapil Dev led that team to World Cup victory, they proved that determination can overcome any disadvantage."	CricketDadaExcited																	
Story 6	Cricket Dada	Emotional Background Music 2	15	Day 2	Raju	Raju Quizzical	"So when people say cricket is just a game, they don't understand what it really means?"	RajuQuizzical																	
